date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-09-01,SALARY CREDIT,16554,30827,Credit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-31,RESTAURANT,-693,30134,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-30,UTILITIES,-137,29997,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-29,FUEL,-1427,28570,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-28,UTILITIES,-901,27669,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-27,GROCERY,-386,27283,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-24,RENT,-4230,23053,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-23,SHOPPING,-1300,21753,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-20,UTILITIES,-603,21150,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-19,RENT,-4230,16920,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-18,RESTAURANT,-476,16444,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-16,RESTAURANT,-213,16231,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-12,FUEL,-1267,14964,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-11,SHOPPING,-473,14491,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-10,SHOPPING,-872,13619,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-05,RESTAURANT,-786,12833,Debit,Ali Hassan,784-1974-2014695-3,ENBD
2025-08-04,FUEL,-671,12162,Debit,Ali Hassan,784-1974-2014695-3,ENBD
