date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-08-29,SALARY CREDIT,17116,44729,Credit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-27,UTILITIES,-1162,43567,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-22,GROCERY,-1083,42484,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-21,FUEL,-734,41750,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-20,RENT,-7467,34283,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-16,GROCERY,-171,34112,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-15,GROCERY,-316,33796,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-09,RENT,-7467,26329,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-04,SHOPPING,-1149,25180,Debit,Angela Gibbs,784-1964-7447621-0,FAB
2025-08-02,RESTAURANT,-1178,24002,Debit,Angela Gibbs,784-1964-7447621-0,FAB
