date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-09-01,SALARY CREDIT,16554,30827,Credit,Huda Yousef,784-1974-2014695-3,FAB
2025-09-01,RENT,-4230,26597,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-31,RENT,-4230,22367,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-29,GROCERY,-342,22025,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-28,RESTAURANT,-986,21039,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-26,GROCERY,-512,20527,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-24,RESTAURANT,-1375,19152,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-23,SHOPPING,-274,18878,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-17,GROCERY,-546,18332,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-11,GROCERY,-525,17807,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-10,SHOPPING,-1295,16512,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-09,UTILITIES,-751,15761,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-08,FUEL,-534,15227,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-07,SHOPPING,-598,14629,Debit,Huda Yousef,784-1974-2014695-3,FAB
2025-08-03,RESTAURANT,-560,14069,Debit,Huda Yousef,784-1974-2014695-3,FAB
