date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-08-29,SALARY CREDIT,16554,30827,Credit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-28,RESTAURANT,-168,30659,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-26,GROCERY,-223,30436,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-24,SHOPPING,-1012,29424,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-21,RESTAURANT,-200,29224,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-20,UTILITIES,-1333,27891,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-16,GROCERY,-176,27715,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-09,FUEL,-163,27552,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-08,RESTAURANT,-241,27311,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-07,SHOPPING,-676,26635,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-05,RENT,-4230,22405,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
2025-08-01,RENT,-4230,18175,Debit,Joy Murphy,784-1974-2014695-3,Emirates NBD
