date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-08-29,UTILITIES,-1369,9355,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-26,FUEL,-505,8850,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-25,GROCERY,-682,8168,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-24,FUEL,-1313,6855,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-23,GROCERY,-485,6370,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-16,RESTAURANT,-673,5697,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-15,SHOPPING,-1006,4691,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-09,SHOPPING,-826,3865,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-08,UTILITIES,-1070,2795,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-05,UTILITIES,-443,2352,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-04,SHOPPING,-1081,1271,Debit,Maureen Walker,784-1989-8980876-8,ADCB
2025-08-01,RENT,-10655,-9384,Debit,Maureen Walker,784-1989-8980876-8,ADCB
