date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-08-29,SALARY CREDIT,18104,45538,Credit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-29,RENT,-10494,35044,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-27,GROCERY,-1160,33884,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-26,GROCERY,-470,33414,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-20,GROCERY,-1158,32256,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-17,RESTAURANT,-824,31432,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-16,RENT,-10494,20938,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-15,FUEL,-467,20471,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-13,RENT,-10494,9977,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-11,GROCERY,-944,9033,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-06,GROCERY,-608,8425,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-03,GROCERY,-1012,7413,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-02,FUEL,-565,6848,Debit,Michael Hudson,784-1965-0638172-1,ENBD
2025-08-01,FUEL,-485,6363,Debit,Michael Hudson,784-1965-0638172-1,ENBD
