date,description,amount,balance,type,applicant_name,emirates_id,bank_name
2025-08-29,SALARY CREDIT,10808,47047,Credit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-29,SHOPPING,-935,46112,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-26,SHOPPING,-1291,44821,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-24,FUEL,-1146,43675,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-21,RESTAURANT,-1005,42670,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-20,RENT,-1085,41585,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-19,UTILITIES,-1064,40521,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-18,UTILITIES,-962,39559,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-17,SHOPPING,-1382,38177,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-16,UTILITIES,-103,38074,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-14,FUEL,-598,37476,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-13,GROCERY,-307,37169,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-11,UTILITIES,-1205,35964,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-10,UTILITIES,-966,34998,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-08-06,GROCERY,-370,34628,Debit,Sherry Mason,784-1971-2454811-6,FAB
2025-07-31,SHOPPING,-570,34058,Debit,Sherry Mason,784-1971-2454811-6,FAB
